country,total_weekly_hours_worked(estimates_in_thousands),percentage_of_working_hrs_lost,percent_hours_lost_40hrs_per_week,percent_hours_lost_48hrs_per_week,labour_dependency_ratio,employed_female_25+_2019,employed_male_25+_2019,ratio_of_weekly_hours_worked_by_population_age_15-64,Developing Country
United States,5406437.003,9.2,13743.322,11452.769000000000,1.18,64352.836000000000,76212.71,25.1,0
Uzbekistan,507138.97,8.5,1183.491,986.243,1.38,4746.504,6838.192000000000,22.8,1
Saint Vincent and the Grenadines,1724.8340000000000,9.3,4.4240000000000000,3.687,1.49,18.079,23.266,22.8,1
"Venezuela, Bolivarian Republic of",358000.03800000000,13.7,1417.654,1181.378,1.41,3725.528,6080.74,19.4,1
United States Virgin Islands,1421.021,13.0,5.294,4.412,1.13,22.14,20.749000000000000,22.6,1
Viet Nam,2201808.259,5.2,3038.192,2531.826,0.74,23667.424,25357.86,32.8,1
Vanuatu,3380.123,5.3,4.754,3.9620000000000000,1.37,42.586000000000000,55.066,19.0,1
Samoa,1868.131,4.8,2.335,1.946,2.9,13.357000000000000,26.593000000000000,16.3,1
Yemen,241343.84,1.3,81.15100000000000,67.626,4.08,310.474,4376.266,13.9,1
South Africa,620660.71,13.6,2433.481,2027.901,2.6,6919.5740000000000,8697.138,15.9,1
Zambia,261419.958,2.6,173.06400000000000,144.22,1.85,2359.041,2609.583,26.4,1
Zimbabwe,160198.453,9.1,399.245,332.705,1.19,2456.0590000000000,2230.026,19.6,1
